308.0,
246.0,
256.0,
223.0,
229.0,
285.0,
233.0,
210.0,
248.0,
296.0,
240.0,
249.0,
229.0,
219.0,
242.0,
232.0,
240.0,
254.0,
265.0,
212.0,
233.0,
236.0,
242.0,
254.0,
220.0,
244.0,
253.0,
239.0,
246.0,
214.0,
