214.0,
212.0,
223.0,
253.0,
253.0,
249.0,
213.0,
229.0,
221.0,
213.0,
258.0,
233.0,
258.0,
212.0,
218.0,
237.0,
220.0,
224.0,
229.0,
235.0,
412.0,
233.0,
213.0,
231.0,
239.0,
221.0,
216.0,
249.0,
241.0,
234.0,
