957.0,
812.0,
828.0,
815.0,
819.0,
803.0,
820.0,
947.0,
813.0,
831.0,
818.0,
820.0,
788.0,
813.0,
805.0,
808.0,
809.0,
826.0,
800.0,
803.0,
839.0,
868.0,
874.0,
881.0,
840.0,
835.0,
827.0,
819.0,
810.0,
809.0,
