919.0,
821.0,
847.0,
818.0,
820.0,
821.0,
844.0,
839.0,
801.0,
823.0,
838.0,
799.0,
837.0,
815.0,
883.0,
851.0,
817.0,
814.0,
811.0,
799.0,
794.0,
872.0,
818.0,
792.0,
842.0,
832.0,
802.0,
802.0,
819.0,
805.0,
