781.0,
816.0,
873.0,
799.0,
838.0,
821.0,
805.0,
812.0,
856.0,
839.0,
1027.0,
828.0,
1084.0,
813.0,
871.0,
875.0,
799.0,
809.0,
813.0,
845.0,
870.0,
813.0,
814.0,
827.0,
790.0,
811.0,
837.0,
821.0,
813.0,
850.0,
