2464.0,
2493.0,
2543.0,
2351.0,
2408.0,
2358.0,
2451.0,
2426.0,
2444.0,
2363.0,
2538.0,
2524.0,
2353.0,
2489.0,
2558.0,
2357.0,
2456.0,
2328.0,
2499.0,
2416.0,
2485.0,
2349.0,
2549.0,
2368.0,
2485.0,
2424.0,
2403.0,
2476.0,
2363.0,
2528.0,
