1661.0,
1531.0,
1493.0,
1636.0,
1519.0,
1490.0,
1518.0,
1522.0,
1526.0,
1536.0,
1507.0,
1590.0,
1460.0,
1529.0,
1480.0,
1495.0,
1541.0,
1507.0,
1526.0,
1478.0,
1509.0,
1582.0,
1503.0,
1487.0,
1522.0,
1491.0,
1497.0,
1479.0,
1570.0,
1523.0,
